name,gender,origin,bio,result_group,provenance,licence_text,attribution,image_path
Amitabh Bachchan,male,bollywood,,male,wikimedia,CC BY-SA 4.0,Photo by Shrinivaskulkarni1388 derivative work / Wikimedia Commons,data/images/amitabh_bachchan/img_01.png
Shah Rukh Khan,male,bollywood,,male,wikimedia,CC BY 3.0,Photo by Bollywood Hungama / Wikimedia Commons,data/images/shah_rukh_khan/img_01.png
Aamir Khan,male,bollywood,,male,wikimedia,CC BY 3.0,Photo by Bollywood Hungama / Wikimedia Commons,data/images/aamir_khan/img_01.png
Salman Khan,male,bollywood,,male,wikimedia,CC BY 3.0,Photo by Bollywood Hungama / Wikimedia Commons,data/images/salman_khan/img_01.png
Akshay Kumar,male,bollywood,,male,wikimedia,GODL-India,Photo by Vice President's Secretariat / Wikimedia Commons,data/images/akshay_kumar/img_01.png
Ajay Devgn,male,bollywood,,male,wikimedia,CC BY 3.0,Photo by Bollywood Hungama / Wikimedia Commons,data/images/ajay_devgn/img_01.png
Hrithik Roshan,male,bollywood,,male,wikimedia,CC BY 3.0,Photo by Bollywood Hungama / Wikimedia Commons,data/images/hrithik_roshan/img_01.png
Ranbir Kapoor,male,bollywood,,male,wikimedia,CC BY 3.0,Photo by Bollywood Hungama / Wikimedia Commons,data/images/ranbir_kapoor/img_01.png
Ranveer Singh,male,bollywood,,male,wikimedia,CC BY 3.0,Photo by Bollywood Hungama / Wikimedia Commons,data/images/ranveer_singh/img_01.png
Shahid Kapoor,male,bollywood,,male,wikimedia,CC BY 3.0,Photo by Bollywood Hungama / Wikimedia Commons,data/images/shahid_kapoor/img_01.png
Saif Ali Khan,male,bollywood,,male,wikimedia,CC BY 3.0,Photo by Bollywood Hungama / Wikimedia Commons,data/images/saif_ali_khan/img_01.png
Sanjay Dutt,male,bollywood,,male,wikimedia,CC BY 3.0,Photo by Bollywood Hungama / Wikimedia Commons,data/images/sanjay_dutt/img_01.png
Sunny Deol,male,bollywood,,male,wikimedia,CC BY 3.0,Photo by Bollywood Hungama / Wikimedia Commons,data/images/sunny_deol/img_01.png
Bobby Deol,male,bollywood,,male,wikimedia,CC BY 3.0,Photo by Bollywood Hungama / Wikimedia Commons,data/images/bobby_deol/img_01.png
Anil Kapoor,male,bollywood,,male,wikimedia,GODL-India,Photo by Ministry of Information and Broadcasting / Wikimedia Commons,data/images/anil_kapoor/img_01.png
Jackie Shroff,male,bollywood,,male,wikimedia,CC BY 3.0,Photo by Bollywood Hungama / Wikimedia Commons,data/images/jackie_shroff/img_01.png
Govinda,male,bollywood,,male,wikimedia,CC BY 3.0,Photo by Bollywood Hungama / Wikimedia Commons,data/images/govinda/img_01.png
Mithun Chakraborty,male,bollywood,,male,wikimedia,GODL-India,Photo by President's Secretariat / Wikimedia Commons,data/images/mithun_chakraborty/img_01.png
Dharmendra,male,bollywood,,male,wikimedia,GODL-India,Photo by President's Secretariat / Wikimedia Commons,data/images/dharmendra/img_01.png
Jeetendra,male,bollywood,,male,wikimedia,CC BY 3.0,Photo by Bollywood Hungama / Wikimedia Commons,data/images/jeetendra/img_01.png
Rajesh Khanna,male,bollywood,,male,wikimedia,GODL-India,"Photo by India Post, Government of India / Wikimedia Commons",data/images/rajesh_khanna/img_01.png
Dev Anand,male,bollywood,,male,wikimedia,GODL-India,Photo by Ministry of Information and Broadcasting / Wikimedia Commons,data/images/dev_anand/img_01.png
Dilip Kumar,male,bollywood,,male,wikimedia,Public domain,Photo by Wikipedia (English) / Wikimedia Commons,data/images/dilip_kumar/img_01.png
Raj Kapoor,male,bollywood,,male,wikimedia,GODL-India,"Photo by India Post, Government of India / Wikimedia Commons",data/images/raj_kapoor/img_01.png
Rishi Kapoor,male,bollywood,,male,wikimedia,GODL-India,Photo by Ministry of Information and Broadcasting / Wikimedia Commons,data/images/rishi_kapoor/img_01.png
Irrfan Khan,male,bollywood,,male,wikimedia,CC BY 3.0,Photo by Bollywood Hungama / Wikimedia Commons,data/images/irrfan_khan/img_01.png
Manoj Bajpayee,male,bollywood,,male,wikimedia,GODL-India,Photo by Ministry of Information and Broadcasting / Wikimedia Commons,data/images/manoj_bajpayee/img_01.png
Nawazuddin Siddiqui,male,bollywood,,male,wikimedia,CC BY-SA 4.0,Photo by Shagil Kannur / Wikimedia Commons,data/images/nawazuddin_siddiqui/img_01.png
Pankaj Tripathi,male,bollywood,,male,wikimedia,CC BY-SA 4.0,Photo by Maximilian Buhn / Wikimedia Commons,data/images/pankaj_tripathi/img_01.png
Rajkummar Rao,male,bollywood,,male,wikimedia,CC0,Photo by Deepak Naik / Wikimedia Commons,data/images/rajkummar_rao/img_01.png
Ayushmann Khurrana,male,bollywood,,male,wikimedia,CC BY 3.0,Photo by Bollywood Hungama / Wikimedia Commons,data/images/ayushmann_khurrana/img_01.png
Vicky Kaushal,male,bollywood,,male,wikimedia,CC BY 3.0,Photo by Bollywood Hungama / Wikimedia Commons,data/images/vicky_kaushal/img_01.png
Kartik Aaryan,male,bollywood,,male,wikimedia,CC BY-SA 4.0,Photo by Segolene Liger / Wikimedia Commons,data/images/kartik_aaryan/img_01.png
Varun Dhawan,male,bollywood,,male,wikimedia,CC BY 3.0,Photo by Bollywood Hungama / Wikimedia Commons,data/images/varun_dhawan/img_01.png
Sidharth Malhotra,male,bollywood,,male,wikimedia,CC BY 3.0,Photo by Bollywood Hungama / Wikimedia Commons,data/images/sidharth_malhotra/img_01.png
Tiger Shroff,male,bollywood,,male,wikimedia,CC BY 3.0,Photo by Bollywood Hungama / Wikimedia Commons,data/images/tiger_shroff/img_01.png
John Abraham,male,bollywood,,male,wikimedia,CC BY 3.0,Photo by Bollywood Hungama / Wikimedia Commons,data/images/john_abraham/img_01.png
Arjun Kapoor,male,bollywood,,male,wikimedia,CC BY 3.0,Photo by Bollywood Hungama / Wikimedia Commons,data/images/arjun_kapoor/img_01.png
Emraan Hashmi,male,bollywood,,male,wikimedia,CC BY 3.0,Photo by Bollywood Hungama / Wikimedia Commons,data/images/emraan_hashmi/img_01.png
Abhishek Bachchan,male,bollywood,,male,wikimedia,CC BY 3.0,Photo by Bollywood Hungama / Wikimedia Commons,data/images/abhishek_bachchan/img_01.png
Farhan Akhtar,male,bollywood,,male,wikimedia,CC BY 3.0,Photo by Bollywood Hungama / Wikimedia Commons,data/images/farhan_akhtar/img_01.png
Randeep Hooda,male,bollywood,,male,wikimedia,CC BY 3.0,Photo by Bollywood Hungama / Wikimedia Commons,data/images/randeep_hooda/img_01.png
Arshad Warsi,male,bollywood,,male,wikimedia,CC BY 3.0,Photo by Bollywood Hungama / Wikimedia Commons,data/images/arshad_warsi/img_01.png
Boman Irani,male,bollywood,,male,wikimedia,CC BY 2.0,Photo by Laura Lee Dooley / Wikimedia Commons,data/images/boman_irani/img_01.png
Paresh Rawal,male,bollywood,,male,wikimedia,CC BY 3.0,Photo by Bollywood Hungama / Wikimedia Commons,data/images/paresh_rawal/img_01.png
Anupam Kher,male,bollywood,,male,wikimedia,GODL-India,Photo by Ministry of Information and Broadcasting / Wikimedia Commons,data/images/anupam_kher/img_01.png
Naseeruddin Shah,male,bollywood,,male,wikimedia,CC BY-SA 4.0,Photo by Ifpofficial / Wikimedia Commons,data/images/naseeruddin_shah/img_01.png
Om Puri,male,bollywood,,male,wikimedia,CC BY-SA 2.0,Photo by gdcgraphics / Wikimedia Commons,data/images/om_puri/img_01.png
Kay Kay Menon,male,bollywood,,male,wikimedia,CC BY-SA 4.0,Photo by Niveditasec / Wikimedia Commons,data/images/kay_kay_menon/img_01.png
Vijay Varma,male,bollywood,,male,wikimedia,CC BY 3.0,Photo by Bollywood Hungama / Wikimedia Commons,data/images/vijay_varma/img_01.png
Madhuri Dixit,female,bollywood,,female,wikimedia,CC BY 3.0,Photo by Bollywood Hungama / Wikimedia Commons,data/images/madhuri_dixit/img_01.png
Sridevi,female,bollywood,,female,wikimedia,CC BY 3.0,Photo by Bollywood Hungama / Wikimedia Commons,data/images/sridevi/img_01.png
Kajol,female,bollywood,,female,wikimedia,CC BY 3.0,Photo by Bollywood Hungama / Wikimedia Commons,data/images/kajol/img_01.png
