name,gender,origin,bio,result_group,provenance,licence_text,attribution,image_path
Marlon Brando,male,hollywood,,male,wikimedia,Public domain,Photo by None visible/Paramount Pictures / Wikimedia Commons,data/images/marlon_brando/img_01.png
Robert De Niro,male,hollywood,,male,wikimedia,CC BY-SA 4.0,Photo by Harald Krichel / Wikimedia Commons,data/images/robert_de_niro/img_01.png
Al Pacino,male,hollywood,,male,wikimedia,CC BY 2.0,Photo by Embajada de EEUU en la Argentina (US Embassy of Argentina) / Wikimedia Commons,data/images/al_pacino/img_01.png
Jack Nicholson,male,hollywood,,male,wikimedia,CC BY-SA 3.0,Photo by Georges Biard / Wikimedia Commons,data/images/jack_nicholson/img_01.png
Denzel Washington,male,hollywood,,male,wikimedia,CC BY-SA 4.0,Photo by Gabriel Hutchinson / Wikimedia Commons,data/images/denzel_washington/img_01.png
Morgan Freeman,male,hollywood,,male,wikimedia,Public domain,Photo by U.S. Secretary of Defense / Wikimedia Commons,data/images/morgan_freeman/img_01.png
Tom Hanks,male,hollywood,,male,wikimedia,CC BY 2.0,Photo by Raph_PH / Wikimedia Commons,data/images/tom_hanks/img_01.png
Leonardo DiCaprio,male,hollywood,,male,wikimedia,CC BY 4.0,Photo by Raph_PH / Wikimedia Commons,data/images/leonardo_dicaprio/img_01.png
Brad Pitt,male,hollywood,,male,wikimedia,CC BY-SA 4.0,Photo by Harald Krichel / Wikimedia Commons,data/images/brad_pitt/img_01.png
George Clooney,male,hollywood,,male,wikimedia,CC BY-SA 4.0,Photo by Bryan Berlin / Wikimedia Commons,data/images/george_clooney/img_01.png
Johnny Depp,male,hollywood,,male,wikimedia,CC BY-SA 3.0,Photo by Harald Krichel / Wikimedia Commons,data/images/johnny_depp/img_01.png
Matt Damon,male,hollywood,,male,wikimedia,CC BY-SA 4.0,Photo by PhilipRomano / Wikimedia Commons,data/images/matt_damon/img_01.png
Ben Affleck,male,hollywood,,male,wikimedia,CC BY-SA 4.0,Photo by Nomoretitanic / Wikimedia Commons,data/images/ben_affleck/img_01.png
Christian Bale,male,hollywood,,male,wikimedia,CC BY-SA 4.0,Photo by Harald Krichel / Wikimedia Commons,data/images/christian_bale/img_01.png
Joaquin Phoenix,male,hollywood,,male,wikimedia,CC BY-SA 4.0,Photo by Harald Krichel / Wikimedia Commons,data/images/joaquin_phoenix/img_01.png
Robert Downey Jr.,male,hollywood,,male,wikimedia,CC BY-SA 4.0,Photo by PhilipRomano / Wikimedia Commons,data/images/robert_downey_jr/img_01.png
Chris Evans,male,hollywood,,male,wikimedia,Public domain,Photo by United States House of Representatives - Office of Don Young / Wikimedia Commons,data/images/chris_evans/img_01.png
Chris Hemsworth,male,hollywood,,male,wikimedia,CC BY 4.0,Photo by Kevin Paul / Wikimedia Commons,data/images/chris_hemsworth/img_01.png
Chris Pratt,male,hollywood,,male,wikimedia,CC BY 2.0,"Photo by Dick Thomas Johnson from Tokyo, Japan / Wikimedia Commons",data/images/chris_pratt/img_01.png
Mark Ruffalo,male,hollywood,,male,wikimedia,CC BY-SA 2.0,"Photo by Gage Skidmore from Peoria, AZ, United States of America / Wikimedia Commons",data/images/mark_ruffalo/img_01.png
Samuel L. Jackson,male,hollywood,,male,wikimedia,CC BY-SA 4.0,Photo by Philip Romano / Wikimedia Commons,data/images/samuel_l_jackson/img_01.png
Will Smith,male,hollywood,,male,wikimedia,CC BY 2.0,Photo by TechCrunch / Wikimedia Commons,data/images/will_smith/img_01.png
Jamie Foxx,male,hollywood,,male,wikimedia,CC BY 2.0,"Photo by John Bauld from Toronto, Canada / Wikimedia Commons",data/images/jamie_foxx/img_01.png
Eddie Murphy,male,hollywood,,male,wikimedia,Public domain,Photo by David Shankbone / Wikimedia Commons,data/images/eddie_murphy/img_01.png
Kevin Hart,male,hollywood,,male,wikimedia,CC BY-SA 2.0,Photo by Eva Rinaldi / Wikimedia Commons,data/images/kevin_hart/img_01.png
Adam Sandler,male,hollywood,,male,wikimedia,CC BY-SA 4.0,Photo by Bryan Berlin / Wikimedia Commons,data/images/adam_sandler/img_01.png
Jim Carrey,male,hollywood,,male,wikimedia,CC BY 3.0,Photo by SHOWTIME / Wikimedia Commons,data/images/jim_carrey/img_01.png
Robin Williams,male,hollywood,,male,wikimedia,CC BY-SA 2.0,"Photo by Kingkongphoto & www.celebrity-photos.com from Laurel, Maryland, USA / Wikimedia Commons",data/images/robin_williams/img_01.png
Steve Carell,male,hollywood,,male,wikimedia,CC BY 4.0,Photo by Kevin Paul / Wikimedia Commons,data/images/steve_carell/img_01.png
Paul Rudd,male,hollywood,,male,wikimedia,CC BY 4.0,Photo by Adam Chitayat / Wikimedia Commons,data/images/paul_rudd/img_01.png
Ryan Reynolds,male,hollywood,,male,wikimedia,CC BY 2.0,"Photo by Dick Thomas Johnson from Tokyo, Japan / Wikimedia Commons",data/images/ryan_reynolds/img_01.png
Ryan Gosling,male,hollywood,,male,wikimedia,CC BY 2.0,Photo by Raph_PH / Wikimedia Commons,data/images/ryan_gosling/img_01.png
Hugh Jackman,male,hollywood,,male,wikimedia,CC BY-SA 3.0,Photo by Gage Skidmore / Wikimedia Commons,data/images/hugh_jackman/img_01.png
Russell Crowe,male,hollywood,,male,wikimedia,CC BY 4.0,Photo by Quejaytee / Wikimedia Commons,data/images/russell_crowe/img_01.png
Colin Farrell,male,hollywood,,male,wikimedia,CC BY 4.0,Photo by Quejaytee / Wikimedia Commons,data/images/colin_farrell/img_01.png
Liam Neeson,male,hollywood,,male,wikimedia,CC BY-SA 3.0,Photo by Georges Biard / Wikimedia Commons,data/images/liam_neeson/img_01.png
Daniel Craig,male,hollywood,,male,wikimedia,CC BY 4.0,Photo by Max Surprenant / Wikimedia Commons,data/images/daniel_craig/img_01.png
